Codigo_INEC,Codigo_INEC,Distancia en auto,Tiempo en ruta
20901,30501,117923,8652
20901,50701,87302,5277
20901,50401,132536,7198
20901,50601,107439,6368
20901,50501,186309,10014
20901,51101,146168,8269
20901,51001,213339,10829
20901,50101,155404,8334
20901,50901,154318,8428
20901,50201,149189,8336
20901,50301,169009,9418
20901,50801,129138,7685
20901,40201,53553,3787
20901,40701,42818,3111
20901,40801,49815,3230
20901,40101,53602,3731
20901,40601,67256,4724
20901,40901,61189,4066
20901,40501,56934,4127
20901,40401,50985,3507
20901,40301,59884,3848
20901,41001,139678,8880
20901,70601,132074,8766
20901,70101,214634,14093
20901,70501,184537,11944
20901,70201,121366,8063
20901,70301,155076,10137
20901,70401,274718,17414
20901,60601,109565,6411
20901,60301,272792,14143
20901,61001,285572,14893
20901,60801,291448,15672
20901,60201,25262,1925
20901,61101,44488,2991
20901,60701,272124,14848
20901,60401,48349,3077
20901,60501,202733,10754
20901,60901,86607,5107
20901,60101,42254,2747
20901,11201,71969,6039
20901,11001,57437,3497
20901,10601,63213,4310
20901,11801,63204,3927
20901,10301,61475,3807
20901,11701,118939,8626
20901,10201,50979,3279
20901,10801,60674,4024
20901,12001,101633,8259
20901,11501,62699,3949
20901,10701,44906,2804
20901,11401,61749,4170
20901,11901,181794,10529
20901,10401,41206,3668
20901,10101,58606,3866
20901,10901,45100,2800
20901,10501,105744,8841
20901,11301,58879,3732
20901,11601,21574,1862
20901,11101,67062,4851
20701,20101,39852,2704
20701,21101,26925,2601
20701,20501,13840,1559
20701,20301,22678,2006
20701,21501,115178,8749
20701,21401,143983,10170
20701,20601,12695,1006
20701,20901,34145,3316
20701,20701,0,0
20701,20801,39522,3144
20701,21001,54832,5053
20701,20401,31125,3102
20701,20201,7878,783
20701,21301,155616,11250
20701,21201,15554,1291
20701,30601,96203,6701
20701,30101,81531,5588
20701,30801,83443,5618
20701,30401,107467,7814
20701,30301,70701,4632
20701,30701,82799,5598
20701,30201,87681,6159
20701,30501,118137,8731
20701,50701,96693,6571
20701,50401,141926,8492
20701,50601,116830,7663
20701,50501,195700,11309
20701,51101,155559,9563
20701,51001,222730,12123
20701,50101,164794,9629
20701,50901,163709,9723
20701,50201,158580,9631
20701,50301,178400,10712
20701,50801,138529,8980
20701,40201,47345,3291
20701,40701,46637,3003
20701,40801,43607,2734
20701,40101,47394,3235
20701,40601,55615,4230
20701,40901,49800,3616
20701,40501,50726,3631
20701,40401,44777,3011
20701,40301,52581,3457
20701,41001,92402,8500
20701,70601,128639,8601
20701,70101,211200,13927
20701,70501,181102,11778
20701,70201,117932,7898
20701,70301,151642,9972
20701,70401,271284,17248
20701,60601,148683,9335
20701,60301,257675,16980
20701,61001,324690,17817
20701,60801,330566,18597
20701,60201,39562,3086
20701,61101,83606,5915
20701,60701,311242,17772
20701,60401,57740,4371
20701,60501,241851,13679
20701,60901,125725,8031
20701,60101,59669,4648
20701,11201,74412,6297
20701,11001,57651,3576
20701,10601,63427,4389
20701,11801,63417,4006
20701,10301,61689,3886
20701,11701,119153,8705
20701,10201,53421,3537
20701,10801,57240,3858
20701,12001,101847,8338
20701,11501,58212,4007
20701,10701,47349,3061
20701,11401,58315,4004
20701,11901,192501,13130
20701,10401,67821,5017
20701,10101,55380,3583
20701,10901,47543,3058
20701,10501,105957,8920
20701,11301,55445,3567
20701,11601,37741,3535
20701,11101,63627,4685
20801,20101,11695,1391
20801,21101,46052,4585
20801,20501,30501,2843
20801,20301,13681,1397
20801,21501,144092,10602
20801,21401,164879,11558
20801,20601,26647,2783
20801,20901,50405,3898
20801,20701,39522,3144
20801,20801,0,0
20801,21001,73500,6959
20801,20401,55170,4175
20801,20201,44413,3662
20801,21301,182746,13108
20801,21201,20794,2119
20801,30601,72986,6361
20801,30101,58314,5248
20801,30801,60226,5278
20801,30401,84250,7475
20801,30301,47484,4293
20801,30701,59582,5258
20801,30201,64464,5819
20801,30501,94919,8391
20801,50701,137632,8863
20801,50401,182865,10784
20801,50601,157769,9954
20801,50501,236639,13600
20801,51101,196498,11855
20801,51001,263669,14415
20801,50101,205733,11921
20801,50901,204648,12014
20801,50201,199519,11923
20801,50301,219339,13004
20801,50801,179468,11271
20801,40201,25517,2876
20801,40701,23420,2663
20801,40801,20389,2395
20801,40101,24177,2895
20801,40601,32398,3890
20801,40901,26583,3276
20801,40501,27509,3291
20801,40401,19119,2383
20801,40301,29364,3118
20801,41001,76542,6602
20801,70601,105422,8261
20801,70101,187982,13588
20801,70501,157885,11438
20801,70201,94715,7558
20801,70301,128425,9632
20801,70401,248066,16908
20801,60601,160315,9966
20801,60301,234457,16641
20801,61001,336322,18447
20801,60801,342198,19227
20801,60201,76530,5694
20801,61101,95238,6546
20801,60701,322874,18403
20801,60401,98679,6663
20801,60501,253483,14309
20801,60901,137357,8662
20801,60101,92583,6333
20801,11201,60114,6038
20801,11001,34434,3236
20801,10601,40210,4049
20801,11801,40200,3666
20801,10301,38472,3546
20801,11701,95935,8365
20801,10201,33343,3222
20801,10801,34022,3519
20801,12001,78630,7999
20801,11501,34994,3667
20801,10701,31933,3101
20801,11401,35098,3664
20801,11901,169283,12790
20801,10401,52406,5056
20801,10101,32163,3244
20801,10901,32127,3097
20801,10501,82740,8580
20801,11301,32227,3227
20801,11601,49373,4166
20801,11101,40410,4345
21001,20101,80125,6638
21001,21101,28062,2643
21001,20501,68634,6204
21001,20301,60248,5668
21001,21501,75573,5149
21001,21401,96576,6141
21001,20601,47124,4294
21001,20901,95007,7877
21001,20701,54832,5053
21001,20801,73500,6959
21001,21001,0,0
21001,20401,89018,7903
21001,20201,50312,4867
21001,21301,114827,7657
21001,21201,52557,5000
21001,30601,135909,10673
21001,30101,121237,9560
21001,30801,123149,9590
21001,30401,147173,11787
21001,30301,110407,8605
21001,30701,122505,9570
21001,30201,127387,10131
21001,30501,181908,11966
21001,50701,141779,11008
21001,50401,160796,10467
21001,50601,148222,10022
21001,50501,214570,13283
21001,51101,200645,14000
21001,51001,198577,14187
21001,50101,183664,11603
21001,50901,208795,14159
21001,50201,203666,14067
21001,50301,239125,14685
21001,50801,119468,9143
21001,40201,87051,7263
21001,40701,86343,6975
21001,40801,83313,6707
21001,40101,87100,7207
21001,40601,95321,8202
21001,40901,89506,7588
21001,40501,90432,7603
21001,40401,84483,6983
21001,40301,92287,7430
21001,41001,57022,3844
21001,70601,112150,7143
21001,70101,194710,12470
21001,70501,164613,10320
21001,70201,101443,6440
21001,70301,135153,8514
21001,70401,254794,15790
21001,60601,210572,13876
21001,60301,297381,20953
21001,61001,386580,22358
21001,60801,392455,23137
21001,60201,84648,7522
21001,61101,145495,10456
21001,60701,373132,22313
21001,60401,102826,8808
21001,60501,303741,18219
21001,60901,187615,12572
21001,60101,104755,9084
21001,11201,114118,10269
21001,11001,97357,7548
21001,10601,103133,8361
21001,11801,103123,7978
21001,10301,101395,7858
21001,11701,158858,12677
21001,10201,93127,7509
21001,10801,96945,7831
21001,12001,141553,12311
21001,11501,97918,7979
21001,10701,87055,7034
21001,11401,98021,7976
21001,11901,232207,17102
21001,10401,107527,8989
21001,10101,95086,7556
21001,10901,87249,7030
21001,10501,145663,12892
21001,11301,95151,7539
21001,11601,99631,8076
21001,11101,103333,8657
20401,20101,49276,3282
20401,21101,61698,5391
20401,20501,21022,1815
20401,20301,37753,3497
20401,21501,170755,10832
20401,21401,167157,12984
20401,20601,42292,3589
20401,20901,3901,406
20401,20701,31125,3102
20401,20801,55170,4175
20401,21001,89018,7903
20401,20401,0,0
20401,20201,30809,3626
20401,21301,165705,9887
20401,21201,40847,3710
20401,30601,98440,6749
20401,30101,83768,5636
20401,30801,85681,5665
20401,30401,109705,7862
20401,30301,72939,4680
20401,30701,85036,5645
20401,30201,89918,6206
20401,30501,120374,8779
20401,50701,78826,5128
20401,50401,124059,7049
20401,50601,98962,6219
20401,50501,177833,9865
20401,51101,137692,8120
20401,51001,204863,10680
20401,50101,146927,8185
20401,50901,145842,8279
20401,50201,140713,8187
20401,50301,160533,9269
20401,50801,120662,7536
20401,40201,56004,3913
20401,40701,45269,3237
20401,40801,52266,3357
20401,40101,56053,3857
20401,40601,69707,4850
20401,40901,63640,4192
20401,40501,59385,4253
20401,40401,53436,3633
20401,40301,62335,3975
20401,41001,142129,9007
20401,70601,134525,8893
20401,70101,217085,14220
20401,70501,186988,12070
20401,70201,123817,8190
20401,70301,157528,10264
20401,70401,277169,17540
20401,60601,113596,6586
20401,60301,276823,14319
20401,61001,289604,15068
20401,60801,295479,15847
20401,60201,21695,1642
20401,61101,48519,3166
20401,60701,276155,15023
20401,60401,39873,2928
20401,60501,206765,10930
20401,60901,90638,5282
20401,60101,45865,2954
20401,11201,74421,6166
20401,11001,59888,3623
20401,10601,65665,4437
20401,11801,65655,4054
20401,10301,63926,3933
20401,11701,121390,8752
20401,10201,53430,3405
20401,10801,63125,4151
20401,12001,104084,8386
20401,11501,65150,4075
20401,10701,47357,2930
20401,11401,64200,4296
20401,11901,185825,10705
20401,10401,43657,3795
20401,10101,61057,3992
20401,10901,47551,2927
20401,10501,108195,8967
20401,11301,61330,3859
20401,11601,24025,1988
20401,11101,69513,4977
20201,20101,44834,3094
20201,21101,22992,2355
20201,20501,21520,2256
20201,20301,27660,2396
20201,21501,108210,8151
20201,21401,137015,9572
20201,20601,17676,1396
20201,20901,33797,3868
20201,20701,7878,783
20201,20801,44413,3662
20201,21001,50312,4867
20201,20401,30809,3626
20201,20201,0,0
20201,21301,146402,10520
20201,21201,20339,1661
20201,30601,100987,7071
20201,30101,86315,5958
20201,30801,88227,5988
20201,30401,112251,8184
20201,30301,75486,5002
20201,30701,87583,5968
20201,30201,92465,6529
20201,30501,122921,9101
20201,50701,91735,6405
20201,50401,136968,8326
20201,50601,111871,7496
20201,50501,190742,11143
20201,51101,150601,9397
20201,51001,217772,11957
20201,50101,159836,9463
20201,50901,158751,9557
20201,50201,153622,9465
20201,50301,173442,10546
20201,50801,133571,8814
20201,40201,52129,3661
20201,40701,51421,3372
20201,40801,48391,3104
20201,40101,52178,3605
20201,40601,60399,4600
20201,40901,54584,3985
20201,40501,55510,4001
20201,40401,49561,3381
20201,40301,57365,3827
20201,41001,113281,7985
20201,70601,133424,8970
20201,70101,215984,14297
20201,70501,185886,12148
20201,70201,122716,8267
20201,70301,156426,10341
20201,70401,276068,17618
20201,60601,143433,10049
20201,60301,262459,17350
20201,61001,319441,18531
20201,60801,325316,19311
20201,60201,34604,2920
20201,61101,78356,6629
20201,60701,305992,18486
20201,60401,52782,4205
20201,60501,236601,14393
20201,60901,120475,8745
20201,60101,54711,4481
20201,11201,79196,6667
20201,11001,62435,3945
20201,10601,68211,4759
20201,11801,68201,4376
20201,10301,66473,4255
20201,11701,123937,9074
20201,10201,58206,3907
20201,10801,62024,4228
20201,12001,106631,8708
20201,11501,62996,4377
20201,10701,52133,3431
20201,11401,63099,4374
20201,11901,197285,13500
20201,10401,72605,5387
20201,10101,60164,3953
20201,10901,52327,3428
20201,10501,110741,9289
20201,11301,60229,3936
20201,11601,45514,4273
20201,11101,68411,5055
21301,20101,218617,12729
21301,21101,142480,10142
21301,20501,198958,11452
21301,20301,175398,12864
21301,21501,38993,2438
21301,21401,62664,6609
21301,20601,157325,11706
21301,20901,174181,10036
21301,20701,155616,11250
21301,20801,182746,13108
21301,21001,114827,7657
21301,20401,165705,9887
21301,20201,146402,10520
21301,21301,0,0
21301,21201,166367,12028
21301,30601,268871,16350
21301,30101,254199,15237
21301,30801,256111,15267
21301,30401,280135,17464
21301,30301,243369,14282
21301,30701,255467,15247
21301,30201,260349,15808
21301,30501,269024,16601
21301,50701,99860,5910
21301,50401,79903,4444
21301,50601,67329,3999
21301,50501,133677,7260
21301,51101,150060,8342
21301,51001,84171,6634
21301,50101,102771,5581
21301,50901,158210,8501
21301,50201,153081,8410
21301,50301,158232,8663
21301,50801,89146,5367
21301,40201,187874,13740
21301,40701,215699,12839
21301,40801,222696,12958
21301,40101,226483,13458
21301,40601,216971,13122
21301,40901,222616,13653
21301,40501,223607,13811
21301,40401,183601,13292
21301,40301,232765,13576
21301,41001,144138,8479
21301,70601,199266,11778
21301,70101,281826,17104
21301,70501,251729,14955
21301,70201,188559,11075
21301,70301,222269,13149
21301,70401,341910,20425
21301,60601,270517,15437
21301,60301,433745,23170
21301,61001,446525,23919
21301,60801,452401,24699
21301,60201,145077,8546
21301,61101,205440,12017
21301,60701,433077,23874
21301,60401,141015,8330
21301,60501,363686,19781
21301,60901,247560,14133
21301,60101,153817,9249
21301,11201,244851,15767
21301,11001,230319,13225
21301,10601,236095,14038
21301,11801,236085,13655
21301,10301,234357,13535
21301,11701,291820,18354
21301,10201,223860,13007
21301,10801,233556,13752
21301,12001,274515,17987
21301,11501,235580,13677
21301,10701,217788,12532
21301,11401,222340,13443
21301,11901,342747,19556
21301,10401,214033,13415
21301,10101,225704,13548
21301,10901,217982,12528
21301,10501,278625,18569
21301,11301,231761,13460
21301,11601,194455,11590
21301,11101,221214,13522
21201,20101,31562,2379
21201,21101,25237,2488
21201,20501,20071,1945
21201,20301,7541,829
21201,21501,127520,9610
21201,21401,149122,11109
21201,20601,5831,686
21201,20901,46444,3618
21201,20701,15554,1291
21201,20801,20794,2119
21201,21001,52557,5000
21201,20401,40847,3710
21201,20201,20339,1661
21201,21301,166367,12028
21201,21201,0,0
21201,30601,87818,6483
21201,30101,73147,5370
21201,30801,75059,5400
21201,30401,99083,7597
21201,30301,62317,4415
21201,30701,74415,5380
21201,30201,79297,5941
21201,30501,109752,8513
21201,50701,109257,7448
21201,50401,154490,9369
21201,50601,129393,8540
